IDPERSON,SEXO,INDINOM,ANONAC,ANOMUE,EDAD,EDADREC,IDNIVEDU,CONDALFA,ESTACIV,RELIGION,IDIOMA,OCUPACI0,ORGANIZA,OCUPACIO,SITUACIO,AGENTE,AGENTERC,UBIGEONA,DEPNAC,DEPNA0,UBIGEO,DEPHEC,DEPHE0,PROVHEC,DISTHEC,AREA,REGION,PERIODO,TESTIMON,CEDAP,CVR,COMISEDH,CNDDHH,CICR,DEFPUEB,DP_ONG
0000061557,2,2,#NULL!,1993,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,1206040048,12,9,1206,120604,0,3,5,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061562,2,1,1967,1989,22,3,3,2,2,1,2,1,#NULL!,1,1,3,2,0501140061,05,1,0501140061,05,1,0501,050114,0,1,4,3,0,1,0,0,0,0,0
0000061566,2,2,#NULL!,1993,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0511040038,05,1,0511,051104,0,1,5,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061567,2,1,1939,1989,50,6,1,1,2,1,2,1,#NULL!,1,1,3,2,0501140061,05,1,0501140061,05,1,0501,050114,0,1,4,2,0,1,0,0,0,0,0
0000061573,2,1,#NULL!,1989,#NULL!,#NULL!,3,2,2,1,2,1,#NULL!,1,1,3,2,0501140061,05,1,0501140061,05,1,0501,050114,0,1,4,7,0,1,0,0,0,0,0
0000061578,1,1,1959,1990,31,4,3,2,2,1,2,4,#NULL!,4,1,3,2,0905010000,09,3,1206060028,12,9,1206,120606,0,3,4,2,0,1,0,0,0,0,0
0000061582,2,1,1957,1985,28,3,1,#NULL!,2,1,2,1,#NULL!,1,1,1,1,0511080027,05,1,0511080027,05,1,0511,051108,0,1,2,1,0,1,0,0,0,0,0
0000061583,2,1,1932,1985,53,6,4,2,2,1,2,1,#NULL!,1,1,1,1,1010010069,10,5,1010060001,10,5,1010,101006,0,2,2,3,0,1,1,1,0,1,0
0000061585,1,1,1984,1984,0,1,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,0503010000,05,1,0503010000,05,1,0503,050301,0,1,2,2,0,1,0,0,0,0,0
0000061593,2,1,1940,1986,46,5,3,2,3,1,2,#NULL!,#NULL!,#NULL!,2,7,4,0511080027,05,1,0511080027,05,1,0511,051108,0,1,3,1,0,1,0,0,0,0,0
0000061595,2,1,#NULL!,1982,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,,,#NULL!,0501010000,05,1,0501,050101,1,1,1,2,0,1,0,1,0,1,0
